Normalize: Assets,SW EOL Exception,0.07,No Issue
Normalize: Assets,SW EOL Range (Start),0.04,No Issue
Normalize: Assets,SW EOL Range (End),0.06,No Issue
Normalize: Assets,SW OBS Year,0.05,No Issue
Normalize: Assets,SW OBS Quarter,0.04,No Issue
Normalize: Assets,SW OBS Month,0.06,No Issue
Normalize: Assets,SW OBS Date,0.09,No Issue
Normalize: Assets,SW OBS Exception,0.03,No Issue
Normalize: Assets,SW OBS Range (Start),0.04,No Issue
Normalize: Assets,SW OBS Range (End),0.04,No Issue
Normalize: Assets,SW Support Policy,0.61,No Issue
Normalize: Assets,SW Support Stage,0.58,No Issue
Normalize: Assets,SW Support Stage Order,2.16,No Issue
Normalize: Assets,SW Support Stage Definition,0.59,No Issue
Normalize: Assets,SW Currency Code,0.58,No Issue
Normalize: Assets,SW Minimum price,0.59,No Issue
Normalize: Assets,SW Average price,0.05,No Issue
Normalize: Assets,SW Maximum price,0.05,No Issue
Normalize: Assets,PRI Is Private?,0.05,No Data
Normalize: Assets,PRI Type,0.06,No Data
Normalize: Assets,PRI Object,0.06,No Data
Normalize: Assets,PRI Table,0.06,No Data
Normalize: Assets,PRI Attribute,0.05,No Data
Normalize: Assets,SW Instance Attribute,0.57,No Issue
Normalize: Assets,SW Instance Value,0.56,No Issue
Normalize: Assets,Domain,0.58,No Issue
Normalize: Assets,ACTIVE,0.05,No Issue
Normalize: Assets,Owner,0.04,No Issue
Normalize: Assets,Expiration Date,0.05,No Issue
Normalize: Assets,Location,0.05,No Issue
Normalize: Assets,Manufacturer Name,0.58,No Issue
Normalize: Assets,Product Name,0.04,No Issue
Normalize: Assets,Supported OS,0.03,No Issue
Normalize: Assets,Last Supported Date,0.04,No Issue
Normalize: Assets,Energy Star,0.05,No Issue
Normalize: Assets,EPEAT,0.03,No Issue
Normalize: Assets,AC Power AVG,0.06,No Issue
Normalize: Assets,AC AVG UNIT,0.03,No Issue
Normalize: Assets,AC Power Max,0.04,No Issue
Normalize: Assets,AC MAX Unit,0.06,No Issue
Normalize: Assets,Managed by,0.04,No Issue
Normalize: Assets,IND,0.59,No Issue
Normalize: Assets,BDNA SW Category,0.04,No Issue
Normalize: Assets,BDNA SW Sub Category,0.06,No Issue
Normalize: Assets,SW Supplier,0.04,No Issue
Normalize: Assets,SW Name,0.06,No Issue
Normalize: Assets,Business Unit,0.57,No Issue
Normalize: Assets,Department,0.04,No Issue
Normalize: Assets,Region,0.05,No Issue
Normalize: Assets,Country,0.03,No Issue
Normalize: Assets,User_Domain,0.05,No Issue
Normalize: Assets,User_Name,0.07,No Issue
Normalize: Assets,DEPT1,0.04,No Issue
Normalize: Assets,DEPT2,0.04,No Issue
Normalize: Assets,SITE1,0.06,No Issue
Normalize: Assets,LOC,0.04,No Issue
Normalize: Assets,SYS Count_measure,0.59,No Issue
Normalize: Assets,SYS Avg CPU (MHz)_measure,0.56,No Issue
Normalize: Assets,SYS Avg Number of CPUs_measure,0.56,No Issue
Normalize: Assets,SYS Avg Number of Cores_measure,0.57,No Issue
Normalize: Assets,SYS Avg RAM (MB)_measure,0.56,No Issue
Normalize: Assets,SYS Avg Total HDD (GB)_measure,0.56,No Issue
Normalize: Assets,SYS Avg Available HDD (GB)_measure,0.58,No Issue
Normalize: Assets,HW Distinct Product Count_measure,0.56,No Issue
Normalize: Assets,HW Distinct Model Count_measure,0.57,No Issue
Normalize: Assets,HW Minimum price_measure,0.57,No Issue
Normalize: Assets,HW Average price_measure,0.56,No Issue
Normalize: Assets,HW Maximum price_measure,0.57,No Issue
Normalize: Assets,HW AVG Power (W)_measure,0.58,No Issue
Normalize: Assets,HW AC Power Avg_measure,0.58,No Issue
Normalize: Assets,HW AC Power Max_measure,0.57,No Issue
Normalize: Assets,HW AC Heat Diss Avg (BTU/hr)_measure,0.58,No Issue
Normalize: Assets,HW AC Heat Diss Max (BTU/hr)_measure,0.57,No Issue
Normalize: Assets,HW AC Input Low Voltage Min_measure,0.56,No Issue
Normalize: Assets,HW AC Input Low Voltage Max_measure,0.57,No Issue
Normalize: Assets,HW AC Input Low Current Min_measure,0.55,No Issue
Normalize: Assets,HW AC Input Low Current Max_measure,0.57,No Issue
Normalize: Assets,HW AC Input High Voltage Min_measure,0.57,No Issue
Normalize: Assets,HW AC Input High Voltage Max_measure,0.56,No Issue
Normalize: Assets,HW AC Input High Current Min_measure,0.58,No Issue
Normalize: Assets,HW AC Input High Current Max_measure,0.58,No Issue
Normalize: Assets,HW AC Frequency Min_measure,0.57,No Issue
Normalize: Assets,HW AC Frequency Max_measure,0.57,No Issue
Normalize: Assets,HW DC Power Avg_measure,0.6,No Data
Normalize: Assets,HW DC Power Max_measure,0.58,No Data
Normalize: Assets,HW DC Heat Diss Avg (BTU/hr)_measure,0.58,No Data
Normalize: Assets,HW DC Heat Diss Max (BTU/hr)_measure,0.57,No Data
Normalize: Assets,HW DC Low Voltage_measure,0.56,No Issue
Normalize: Assets,HW DC Low Current_measure,0.57,No Issue
Normalize: Assets,HW DC High Voltage_measure,0.59,No Data
Normalize: Assets,HW DC High Current_measure,0.59,No Data
Normalize: Assets,HW Min Operating Temp (F)_measure,0.58,No Issue
Normalize: Assets,HW Max Operating Temp (F)_measure,0.58,No Issue
Normalize: Assets,HW Min Non-Operating Temp (F)_measure,0.57,No Issue
Normalize: Assets,HW Max Non-Operating Temp (F)_measure,0.56,No Issue
Normalize: Assets,HW Min Operating Humidity (%)_measure,0.59,No Issue
Normalize: Assets,HW Max Operating Humidity (%)_measure,0.57,No Issue
Normalize: Assets,HW Min Non-Operating Humidity (%)_measure,0.58,No Issue
Normalize: Assets,HW Max Non-Operating Humidity (%)_measure,0.58,No Issue
Normalize: Assets,SW Distinct Product Count_measure,0.57,No Issue
Normalize: Assets,SW Distinct Version Count_measure,0.56,No Issue
Normalize: Assets,SW Distinct Edition Count_measure,0.56,No Issue
Normalize: Assets,SW Distinct Release Count_measure,0.56,No Issue
Normalize: Assets,SW Install Count_measure,0.56,No Issue
Normalize: Assets,SW Use Count_measure,0.56,No Issue
Normalize: Assets,SW Times Launched_measure,0.6,No Data
Normalize: Assets,SW Usage Duration_measure,0.58,No Issue
Normalize: Assets,SW Minimum price_measure,0.57,No Issue
Normalize: Assets,SW Average price_measure,0.56,No Issue
Normalize: Assets,SW Maximum price_measure,0.56,No Issue
Cube,Attribute,Time(second),Error type
Normalize: IT Assets,INV Date,0.06,No Issue
Normalize: IT Assets,INV Group,0.03,No Issue
Normalize: IT Assets,INV ID,0.06,No Issue
Normalize: IT Assets,INV Name,0.03,No Issue
Normalize: IT Assets,INV Task ID,0.06,No Issue
Normalize: IT Assets,INV Task,0.04,No Issue
Normalize: IT Assets,INV Data Source,0.06,No Issue
Normalize: IT Assets,INV Status,0.05,No Issue
Normalize: IT Assets,INV Is Latest?,0.06,No Issue
Normalize: IT Assets,SYS Domain,0.06,No Issue
Normalize: IT Assets,SYS Hostname,0.58,No Issue
Normalize: IT Assets,SYS Serial Number,0.62,No Issue
Normalize: IT Assets,SYS Is Virtual Machine?,0.03,No Issue
Normalize: IT Assets,SYS Is Virtual Host?,0.04,No Issue
Normalize: IT Assets,SYS Is Deduped?,0.05,No Issue
Normalize: IT Assets,SYS Is Active?,0.04,No Issue
Normalize: IT Assets,SYS CPU Range (Mhz),0.04,No Issue
Normalize: IT Assets,SYS CPUs Range,0.03,No Issue
Normalize: IT Assets,SYS Cores Range,0.04,No Issue
Normalize: IT Assets,SYS RAM Range (MB),0.04,No Issue
Normalize: IT Assets,SYS HDD Range (GB),0.03,No Issue
Normalize: IT Assets,SYS OS Uptime Range,0.05,No Issue
Normalize: IT Assets,SYS User Domain,0.6,No Issue
Normalize: IT Assets,SYS User Logon,0.57,No Issue
Normalize: IT Assets,SYS Full User Logon,0.55,No Issue
Normalize: IT Assets,OS Req OS Type,0.03,No Issue
Normalize: IT Assets,OS Req OS Name,0.03,No Issue
Normalize: IT Assets,OS Req OS Bit Mode,0.05,No Issue
Normalize: IT Assets,OS Req Speed (Mhz),0.04,No Issue
Normalize: IT Assets,OS Req RAM (MB),0.03,No Issue
Normalize: IT Assets,OS Req Limit RAM (MB),0.03,No Issue
Normalize: IT Assets,OS Req HDD (GB),0.05,No Issue
Normalize: IT Assets,SYS Is CPU Compatible?,0.05,No Issue
Normalize: IT Assets,SYS Is RAM Compatible?,0.04,No Issue
Normalize: IT Assets,SYS Is HDD Compatible?,0.05,No Issue
Normalize: IT Assets,SYS OS Readiness,0.04,No Issue
Normalize: IT Assets,OS Family,0.04,No Issue
Normalize: IT Assets,OS Manufacturer,0.08,No Issue
Normalize: IT Assets,OS Name,0.04,No Issue
Normalize: IT Assets,OS Major Version,0.04,No Issue
Normalize: IT Assets,OS Minor Version,0.05,No Issue
Normalize: IT Assets,OS Service Pack,0.04,No Issue
Normalize: IT Assets,OS Edition,0.04,No Issue
Normalize: IT Assets,OS Is Supported? (calc.),0.04,No Issue
Normalize: IT Assets,OS Supported Reason (calc.),0.04,No Issue
Normalize: IT Assets,OS Desupported? (calc.),0.04,No Issue
Normalize: IT Assets,OS Version Order (calc.),0.04,No Issue
Normalize: IT Assets,OS Max Versions (calc.),0.06,No Issue
Normalize: IT Assets,OS Versions (calc.),0.04,No Issue
Normalize: IT Assets,OS EOL Year (calc.),0.04,No Issue
Normalize: IT Assets,OS EOL Quarter (calc.),0.04,No Issue
Normalize: IT Assets,OS EOL Month (calc.),0.05,No Issue
Normalize: IT Assets,OS EOL Date (calc.),0.04,No Issue
Normalize: IT Assets,OS GA Year,0.04,No Issue
Normalize: IT Assets,OS GA Quarter,0.61,No Issue
Normalize: IT Assets,OS GA Month,0.06,No Issue
Normalize: IT Assets,OS GA Date,0.04,No Issue
Normalize: IT Assets,OS GA Exception,0.04,No Issue
Normalize: IT Assets,OS GA Range (Start),0.04,No Issue
Normalize: IT Assets,OS GA Range (End),0.05,No Issue
Normalize: IT Assets,OS EOL Year,0.04,No Issue
Normalize: IT Assets,OS EOL Quarter,0.04,No Issue
Normalize: IT Assets,OS EOL Month,0.04,No Issue
Normalize: IT Assets,OS EOL Date,0.05,No Issue
Normalize: IT Assets,OS EOL Exception,0.03,No Issue
Normalize: IT Assets,OS EOL Range (Start),0.05,No Issue
Normalize: IT Assets,OS EOL Range (End),0.03,No Issue
Normalize: IT Assets,OS OBS Year,0.05,No Issue
Normalize: IT Assets,OS OBS Quarter,0.06,No Issue
Normalize: IT Assets,OS OBS Month,0.05,No Issue
Normalize: IT Assets,OS OBS Date,0.04,No Issue
Normalize: IT Assets,OS OBS Exception,0.03,No Issue
Normalize: IT Assets,OS OBS Range (Start),0.06,No Issue
Normalize: IT Assets,OS OBS Range (End),0.03,No Issue
Normalize: IT Assets,CPU Manufacturer (1),0.59,No Issue
Normalize: IT Assets,CPU Model (1),0.07,No Issue
Normalize: IT Assets,CPU Cores,0.03,No Issue
Normalize: IT Assets,CPU Clock Rate,0.05,No Issue
Normalize: IT Assets,CPU ISA Bit Mode,0.04,No Issue
Normalize: IT Assets,CPU Is Threaded?,0.05,No Issue
Normalize: IT Assets,CPU Number of threads,0.05,No Issue
Normalize: IT Assets,CPU Maximum Sockets,0.59,No Issue
Normalize: IT Assets,CPU IBM PVU per core,0.04,No Issue
Normalize: IT Assets,HW Vertical,0.04,No Issue
Normalize: IT Assets,HW Category,0.04,No Issue
Normalize: IT Assets,HW Subcategory,0.04,No Issue
Normalize: IT Assets,HW Vendor Category,0.04,No Issue
Normalize: IT Assets,HW Manufacturer,0.05,No Issue
Normalize: IT Assets,HW Product,0.04,No Issue
Normalize: IT Assets,HW Model,0.04,No Issue
Normalize: IT Assets,HW Supported OS,0.04,No Issue
Normalize: IT Assets,HW Max CPU sockets,0.04,No Issue
Normalize: IT Assets,HW Is Supported? (calc.),0.03,No Issue
Normalize: IT Assets,HW Supported Reason (calc.),0.05,No Issue
Normalize: IT Assets,HW EOL Year (calc.),0.07,No Issue
Normalize: IT Assets,HW EOL Quarter (calc.),0.04,No Issue
Normalize: IT Assets,HW EOL Month (calc.),0.07,No Issue
Normalize: IT Assets,HW EOL Date (calc.),0.04,No Issue
Normalize: IT Assets,HW Intro Year,0.04,No Issue
Normalize: IT Assets,HW Intro Quarter,0.05,No Issue
Normalize: IT Assets,HW Intro Month,0.04,No Issue
Normalize: IT Assets,HW Intro Date,0.06,No Issue
Normalize: IT Assets,HW Intro Exception,0.04,No Issue
Normalize: IT Assets,HW Intro Range (Start),0.04,No Issue
Normalize: IT Assets,HW Intro Range (End),0.05,No Issue
Normalize: IT Assets,HW GA Year,0.04,No Issue
Normalize: IT Assets,HW GA Quarter,0.05,No Issue
Normalize: IT Assets,HW GA Month,0.05,No Issue
Normalize: IT Assets,HW GA Date,0.05,No Issue
Normalize: IT Assets,HW GA Exception,0.04,No Issue
Normalize: IT Assets,HW GA Range (Start),0.05,No Issue
Normalize: IT Assets,HW GA Range (End),0.04,No Issue
Normalize: IT Assets,HW LastAvail Year,0.06,No Issue
Normalize: IT Assets,HW LastAvail Quarter,0.07,No Issue
Normalize: IT Assets,HW LastAvail Month,0.05,No Issue
Normalize: IT Assets,HW LastAvail Date,0.05,No Issue
Normalize: IT Assets,HW LastAvail Exception,0.04,No Issue
Normalize: IT Assets,HW LastAvail Range (Start),0.04,No Issue
Normalize: IT Assets,HW LastAvail Range (End),0.05,No Issue
Normalize: IT Assets,HW OBS Year,0.04,No Issue
Normalize: IT Assets,HW OBS Quarter,0.06,No Issue
Normalize: IT Assets,HW OBS Month,0.04,No Issue
Normalize: IT Assets,HW OBS Date,0.05,No Issue
Normalize: IT Assets,HW OBS Exception,0.05,No Issue
Normalize: IT Assets,HW OBS Range (Start),0.05,No Issue
Normalize: IT Assets,HW OBS Range (End),0.05,No Issue
Normalize: IT Assets,HW Currency Code,0.61,No Issue
Normalize: IT Assets,HW Minimum price,0.06,No Issue
Normalize: IT Assets,HW Average price,0.05,No Issue
Normalize: IT Assets,HW Maximum price,0.05,No Issue
Normalize: IT Assets,HW Is Energy Star?,0.56,No Issue
Normalize: IT Assets,HW EPEAT Rating,0.05,No Issue
Normalize: IT Assets,HW Power Type,0.04,No Issue
Normalize: IT Assets,HW AVG Power (W),0.04,No Issue
Normalize: IT Assets,HW Power Rating,0.07,No Issue
Normalize: IT Assets,SW Vertical,0.06,No Issue
Normalize: IT Assets,SW Category,0.58,No Issue
Normalize: IT Assets,SW Subcategory,0.08,No Issue
Normalize: IT Assets,SW Vendor Category,0.63,No Issue
Normalize: IT Assets,SW Manufacturer,0.11,No Issue
Normalize: IT Assets,SW Family,0.57,No Issue
Normalize: IT Assets,SW Name,0.59,No Issue
Normalize: IT Assets,SW Component,0.58,No Issue
Normalize: IT Assets,SW Market Version,0.56,No Issue
Normalize: IT Assets,SW Version,0.58,No Issue
Normalize: IT Assets,SW Service Pack,0.57,No Issue
Normalize: IT Assets,SW Edition,0.05,No Issue
Normalize: IT Assets,SW Release ID,0.58,No Issue
Normalize: IT Assets,SW Is Licensable?,0.04,No Issue
Normalize: IT Assets,SW Is Suite?,0.04,No Issue
Normalize: IT Assets,SW Suite,0.58,No Issue
Normalize: IT Assets,SW Is Suite Component?,0.04,No Issue
Normalize: IT Assets,SW Suite Component,0.61,No Issue
Normalize: IT Assets,SW Cloud or On-Premise?,0.58,No Issue
Normalize: IT Assets,SW On-premise equivalent,2.14,No Issue
Normalize: IT Assets,SW Cloud equivalent,0.6,No Issue
Normalize: IT Assets,SW User Domain,0.59,No Issue
Normalize: IT Assets,SW User Logon,0.58,No Issue
Normalize: IT Assets,SW Full User Logon,0.57,No Issue
Normalize: IT Assets,SW Former Product,0.58,No Issue
Normalize: IT Assets,SW Later Product,0.57,No Issue
Normalize: IT Assets,SW Oldest Product,0.57,No Issue
Normalize: IT Assets,SW Latest Product,2.15,No Issue
Normalize: IT Assets,SW Release Platform,0.56,No Issue
Normalize: IT Assets,SW Platform Type,0.57,No Issue
Normalize: IT Assets,SW Is Supported? (calc.),0.04,No Issue
Normalize: IT Assets,SW Supported Reason (calc.),0.05,No Issue
Normalize: IT Assets,SW Desupported? (calc.),0.04,No Issue
Normalize: IT Assets,SW Version Order (calc.),0.06,No Issue
Normalize: IT Assets,SW Max Versions (calc.),0.08,No Issue
Normalize: IT Assets,SW Versions (calc.),0.06,No Issue
Normalize: IT Assets,SW EOL Year (calc.),0.05,No Issue
Normalize: IT Assets,SW EOL Quarter (calc.),0.58,No Issue
Normalize: IT Assets,SW EOL Month (calc.),0.61,No Issue
Normalize: IT Assets,SW EOL Date (calc.),0.57,No Issue
Normalize: IT Assets,SW GA Year,0.06,No Issue
Normalize: IT Assets,SW GA Quarter,0.59,No Issue
Normalize: IT Assets,SW GA Month,0.1,No Issue
Normalize: IT Assets,SW GA Date,0.56,No Issue
Normalize: IT Assets,SW GA Exception,0.04,No Issue
Normalize: IT Assets,SW GA Range (Start),0.6,No Issue
Normalize: IT Assets,SW GA Range (End),0.05,No Issue
Normalize: IT Assets,SW EOL Year,0.05,No Issue
Normalize: IT Assets,SW EOL Quarter,0.06,No Issue
Normalize: IT Assets,SW EOL Month,0.08,No Issue
Normalize: IT Assets,SW EOL Date,0.57,No Issue
Normalize: IT Assets,SW EOL Exception,0.04,No Issue
Normalize: IT Assets,SW EOL Range (Start),0.05,No Issue
Normalize: IT Assets,SW EOL Range (End),0.05,No Issue
Normalize: IT Assets,SW OBS Year,0.05,No Issue
Normalize: IT Assets,SW OBS Quarter,0.07,No Issue
Normalize: IT Assets,SW OBS Month,0.61,No Issue
Normalize: IT Assets,SW OBS Date,0.62,No Issue
Normalize: IT Assets,SW OBS Exception,0.05,No Issue
Normalize: IT Assets,SW OBS Range (Start),0.05,No Issue
Normalize: IT Assets,SW OBS Range (End),0.06,No Issue
Normalize: IT Assets,SW Support Policy,0.56,No Issue
Normalize: IT Assets,SW Support Stage,0.6,No Issue
Normalize: IT Assets,SW Support Stage Order,0.61,No Issue
Normalize: IT Assets,SW Support Stage Definition,0.56,No Issue
Normalize: IT Assets,SW Currency Code,0.59,No Issue
Normalize: IT Assets,SW Minimum price,0.04,No Issue
Normalize: IT Assets,SW Average price,0.05,No Issue
Normalize: IT Assets,SW Maximum price,0.04,No Issue
Normalize: IT Assets,SW Win Readiness Type,0.05,No Issue
Normalize: IT Assets,SW Win Readiness Version,0.05,No Issue
Normalize: IT Assets,SW Win Readiness 32-Bit,0.05,No Issue
Normalize: IT Assets,SW Win Status 32-Bit,0.05,No Issue
Normalize: IT Assets,SW Win Compatible Version 32-Bit,0.57,No Issue
Normalize: IT Assets,SW Win Readiness 64-Bit,0.06,No Issue
Normalize: IT Assets,SW Win Status 64-Bit,0.05,No Issue
Normalize: IT Assets,SW Win Compatible Version 64-Bit,0.6,No Issue
Normalize: IT Assets,App Comp Manufacturer,2.15,No Issue
Normalize: IT Assets,App Comp Name,0.59,No Issue
Normalize: IT Assets,App Comp Version,0.6,No Issue
Normalize: IT Assets,App Comp Edition,2.16,No Issue
Normalize: IT Assets,App Comp 32-bit Compatible?,0.59,No Issue
Normalize: IT Assets,App Comp 64-bit Compatible?,0.57,No Issue
Normalize: IT Assets,App Comp Status,2.18,No Issue
Normalize: IT Assets,App Comp Official,0.05,No Issue
Normalize: IT Assets,App Comp Certification,0.06,No Issue
Normalize: IT Assets,App Comp Community,2.16,No Issue
Normalize: IT Assets,App Comp Difficulty,0.61,No Issue
Normalize: IT Assets,OSS Type,0.57,No Issue
Normalize: IT Assets,OSS Category,0.08,No Issue
Normalize: IT Assets,OSS License,0.59,No Issue
Normalize: IT Assets,OSS Is Primary License?,0.06,No Issue
Normalize: IT Assets,OSS Keywords,0.06,No Issue
Normalize: IT Assets,OSS Source,0.06,No Issue
Normalize: IT Assets,PRI Is Private?,0.06,No Data
Normalize: IT Assets,PRI Type,0.07,No Data
Normalize: IT Assets,PRI Object,0.06,No Data
Normalize: IT Assets,PRI Table,0.06,No Data
Normalize: IT Assets,PRI Attribute,0.06,No Data
Normalize: IT Assets,SW Instance Attribute,0.57,No Issue
Normalize: IT Assets,SW Instance Value,0.59,No Issue
Normalize: IT Assets,Location,0.56,No Issue
Normalize: IT Assets,Purchased By,0.05,No Issue
Normalize: IT Assets,Model,0.07,No Issue
Normalize: IT Assets,CPU Manufacturer,0.04,No Issue
Normalize: IT Assets,Num of Cores,0.05,No Issue
Normalize: IT Assets,Clock Rate,0.04,No Issue
Normalize: IT Assets,Bit Mode,0.04,No Issue
Normalize: IT Assets,Num of Threads,0.04,No Issue
Normalize: IT Assets,Domain,0.05,No Issue
Normalize: IT Assets,ACTIVE,0.04,No Issue
Normalize: IT Assets,Owner,0.04,No Issue
